Site,Burnt,Habitat,date2,MP,MP_Presence
CH,N,Bog,206,0,0
CH,N,Bog,206,0,0
CH,N,Bog,242,0,0
CH,N,Bog,242,1,1
CH,N,Bog,206,2,1
CH,N,Bog,242,0,0
CH,N,Bog,206,0,0
CH,N,WH,242,4,1
CH,Y,Bog,207,0,0
CH,Y,Bog,243,0,0
CH,N,DH,243,6,1
CH,Y,Bog,242,8,1
CH,Y,WH,207,0,0
CH,Y,Bog,207,0,0
CH,Y,DH,207,0,0
CH,Y,Bog,243,5,1
CH,Y,DH,243,1,1
CH,N,DH,207,0,0
EM,N,Bog,219,0,0
EM,Y,WH,174,3,1
EM,N,WH,174,0,0
EM,Y,DH,174,0,0
EM,N,DH,279,0,0
EM,N,DH,180,1,1
EM,Y,WH,181,3,1
EM,Y,WH,181,1,1
EM,Y,WH,181,3,1
EM,N,WH,215,0,0
EM,Y,DH,175,3,1
EM,Y,DH,175,1,1
EM,Y,WH,214,0,0
EM,Y,DH,217,0,0
EM,Y,DH,217,0,0
EM,Y,DH,217,0,0
EM,N,WH,214,0,0
EM,Y,DH,230,0,0
EM,Y,DH,230,0,0
EM,N,WH,185,1,1
EM,N,WH,196,2,1
EM,Y,WH,196,0,0
EM,N,DH,230,0,0
EM,N,DH,230,0,0
EM,N,WH,232,0,0
EM,N,WH,232,1,1
EM,N,DH,232,0,0
EM,N,DH,232,0,0
EM,Y,WH,229,0,0
EM,Y,WH,229,0,0
EM,N,WH,219,1,1
EM,N,DH,180,1,1
EM,Y,WH,180,0,0
EM,Y,DH,229,0,0
GR,Y,Bog,200,1,1
GR,Y,Bog,200,2,1
GR,Y,Bog,200,0,0
GR,Y,Bog,200,0,0
GR,Y,WH,200,2,1
GR,Y,Bog,200,4,1
GR,Y,Bog,201,1,1
GR,Y,Bog,201,0,0
GR,N,Bog,201,0,0
GR,Y,Bog,201,0,0
GR,N,Bog,201,0,0
MN,Y,DH,254,1,1
MN,Y,Bog,254,0,0
MN,Y,Bog,254,0,0
MN,Y,Bog,250,0,0
MN,Y,Bog,257,0,0
MN,Y,Bog,269,0,0
MN,N,Bog,269,0,0
MN,N,Bog,258,2,1
MN,N,Bog,255,0,0
MN,Y,Bog,257,0,0
MN,N,Bog,248,3,1
MN,N,Bog,257,1,1
MN,N,Bog,248,1,1
MN,N,Bog,285,0,0
MN,N,Bog,255,0,0
MN,N,Bog,255,8,1
MN,Y,Bog,257,1,1
MN,N,DH,250,3,1
MN,Y,Bog,250,4,1
MN,Y,Bog,250,2,1
SA,N,Bog,191,0,0
SA,N,Bog,187,0,0
SA,N,Bog,221,0,0
SA,Y,Bog,196,1,1
SA,N,Bog,221,1,1
SA,Y,Bog,196,0,0
SA,Y,Bog,197,0,0
SA,Y,Bog,197,6,1
SA,Y,Bog,221,0,0
SA,Y,Bog,221,0,0
SA,Y,Bog,191,4,1
SA,N,Bog,187,7,1
SA,N,Bog,187,2,1
SA,Y,Bog,191,1,1
SA,Y,Bog,197,5,1
SA,Y,Bog,197,0,0
SA,N,Bog,187,5,1
SA,N,Bog,187,2,1
SA,Y,Bog,197,0,0
SH,N,Bog,276,0,0
SH,Y,Bog,228,1,1
SH,Y,Bog,228,0,0
SH,Y,Bog,240,0,0
SH,Y,Bog,228,0,0
SH,N,Bog,276,4,1
SH,N,Bog,208,4,1
SH,N,Bog,212,7,1
SH,Y,Bog,270,2,1
SH,Y,Bog,270,0,0
SH,Y,Bog,225,2,1
SH,N,Bog,276,0,0
SH,N,Bog,208,9,1
SH,N,Bog,278,0,0
SH,N,Bog,212,1,1
SH,N,Bog,208,0,0
SH,N,Bog,278,1,1
SH,Y,Bog,275,0,0
SH,Y,Bog,240,0,0
SH,Y,Bog,225,0,0
